species_id,taxonomy,common
2002,Macrocystis pyrifera,"giant kelp, adult (greater than 1m in height)"
2002.5,Macrocystis pyrifera,"giant kelp, juvenile (less than 1m in height)"
2012,Eisenia arborea,"Southern sea palm, all"
2013,Pterygophora californica,"California sea palm, all"
2014,Laminaria farlowii,"oar weed, all"
2015,Dictyoneuropsis reticulata/Agarum fimbriatum,"Dictyoneuropsis reticulata/Agarum fimbriatum, adult (greater than 10cm in width)"
2015.5,Dictyoneuropsis reticulata/Agarum fimbriatum,"Dictyoneuropsis reticulata/Agarum fimbriatum, juvenile (less than 10cm in width)"
2016,Sargassum horneri,"Sargassum horneri, adult (greater than 50cm in height or recepticles present)"
2016.5,Sargassum horneri,"Sargassum horneri, juvenile (less than 50cm in height and no recepticles)"
5002,Tethya aurantia,orange puffball sponge
6001,Stylaster californicus,California hydrocoral
6002,Urticina lofotensis,white-spotted rose anemone
6006,Lophogorgia chilensis,red gorgonian
6007,Muricea fruticosa,brown gorgonian
6008,Muricea californica,California golden gorgonian
8001,Panulirus interruptus,California spiny lobster
9002,Haliotis rufescens,red abalone
9003,Haliotis corrugata,pink abalone
9004,Haliotis fulgens,green abalone
9005,Cypraea spadicea,chestnut cowrie
9006,Kelletia kelletii,Kellet's whelk
9007,Megastraea undosa,wavy turban snail
9008,Lithopoma gibberosa,red turban snail
9009,Megathura crenulata,giant keyhole limpet
9010,Crassedoma giganteum,rock scallop
9011,Aplysia californica,California brown sea hare
9012,Haliotis assimilis,threaded abalone
9014,Tegula regina,queen tegula
11001,Patiria miniata,bat star
11002,Pisaster giganteus,giant-spined sea star
11003,Pycnopodia helianthoides,sunflower star
11004,Lytechinus anamesus,white sea urchin
11005,Strongylocentrotus franciscanus,red sea urchin
11006,Strongylocentrotus purpuratus,purple sea urchin
11007,Parastichopus parvimensis,warty sea cucumber
11009,Centrostephanus coronatus,Coronado urchin
12002,Styela montereyensis,stalked tunicate
14025,Lythrypnus dalli,blue-banded goby
14026,Coryphopterus nicholsi,blackeye goby
14027,Alloclinus holderi,island kelpfish
