"","sitelong","Site","island","sitename","MarineReserve","meandepth","lat","long","dataset","site","mpatype","mpaname","mpayear"
"1","KFMP_1",1,"San Miguel Island","Wyckoff Ledge","Outside",13.18885638,34.02236667,-120.3874667,"KFMP","1",NA,NA,NA
"2","KFMP_2",2,"San Miguel Island","Hare Rock","Inside",6.248475981,34.06438333,-120.3566,"KFMP","2",NA,NA,NA
"3","KFMP_3",3,"Santa Rosa Island","Johnson's Lee North","Outside",10.11338698,33.90146667,-120.1029667,"KFMP","3",NA,NA,NA
"4","KFMP_4",4,"Santa Rosa Island","Johnson's Lee South","Outside",14.24042916,33.89753333,-120.10075,"KFMP","4",NA,NA,NA
"5","KFMP_5",5,"Santa Rosa Island","Rodes Reef","Outside",13.64575713,34.03261667,-120.107,"KFMP","5",NA,NA,NA
"6","KFMP_6",6,"Santa Cruz Island","Gull Island South","Inside",15.84979273,33.94966667,-119.8275833,"KFMP","6",NA,NA,NA
"7","KFMP_7",7,"Santa Cruz Island","Fry's Harbor","Outside",12.4420873,34.05635,-119.75515,"KFMP","7",NA,NA,NA
"8","KFMP_8",8,"Santa Cruz Island","Pelican Bay","Outside",6.501463058,34.03488333,-119.7030833,"KFMP","8",NA,NA,NA
"9","KFMP_9",9,"Santa Cruz Island","Scorpion Anchorage","Inside",4.710436479,34.04798333,-119.5514,"KFMP","9",NA,NA,NA
"10","KFMP_10",10,"Santa Cruz Island","Yellow Banks","Outside",15.4444038,33.98983333,-119.5630667,"KFMP","10",NA,NA,NA
"11","KFMP_11",11,"Anacapa Island","Admiral's Reef","Outside",13.52109242,34.00775,-119.4343833,"KFMP","11",NA,NA,NA
"12","KFMP_12",12,"Anacapa Island","Cathedral Cove","Inside",8.062058035,34.01586667,-119.3717333,"KFMP","12",NA,NA,NA
"13","KFMP_13",13,"Anacapa Island","Landing Cove","Inside",7.391489881,34.01703333,-119.3611333,"KFMP","13",NA,NA,NA
"14","KFMP_14",14,"Santa Barbara Island","SE Sea Lion Rookery","Inside",13.13399171,33.46611667,-119.0277833,"KFMP","14",NA,NA,NA
"15","KFMP_15",15,"Santa Barbara Island","Arch Point","Outside",7.564618386,33.48753333,-119.0275833,"KFMP","15",NA,NA,NA
"16","KFMP_16",16,"Santa Barbara Island","Cat Canyon","Outside",7.897159229,33.46441667,-119.0391667,"KFMP","16",NA,NA,NA
"17","KFMP_21",21,"San Miguel Island","Miracle Mile","Outside",8.395818093,34.0237,-120.3951333,"KFMP","21",NA,NA,NA
"18","KFMP_22",22,"Santa Rosa Island","Cluster Point","Outside",13.81675201,33.92303333,-120.1873667,"KFMP","22",NA,NA,NA
"19","KFMP_23",23,"Santa Rosa Island","Trancion Canyon","Inside",12.85722994,33.90855,-120.1555333,"KFMP","23",NA,NA,NA
"20","KFMP_24",24,"Santa Rosa Island","Chickasaw","Inside",11.15581565,33.90036667,-120.1356667,"KFMP","24",NA,NA,NA
"21","KFMP_25",25,"Santa Rosa Island","South Point","Inside",12.52465862,33.89233333,-120.1195,"KFMP","25",NA,NA,NA
"22","KFMP_26",26,"Santa Cruz Island","Devil's Peak Member","Outside",11.72107413,34.04488333,-119.6012667,"KFMP","26",NA,NA,NA
"23","KFMP_27",27,"Santa Cruz Island","Potato Pasture","Inside",11.27773714,34.05216667,-119.5821167,"KFMP","27",NA,NA,NA
"24","KFMP_28",28,"Santa Cruz Island","Cavern Point","Inside",12.19214826,34.05428333,-119.5668667,"KFMP","28",NA,NA,NA
"25","KFMP_29",29,"Santa Cruz Island","Little Scorpion","Outside",11.52706657,34.04415,-119.54245,"KFMP","29",NA,NA,NA
"26","KFMP_30",30,"Santa Cruz Island","Pedro Reef","Outside",9.060899781,34.03836667,-119.5253,"KFMP","30",NA,NA,NA
"27","KFMP_31",31,"Anacapa Island","Keyhole","Inside",9.033162643,34.01641667,-119.4320167,"KFMP","31",NA,NA,NA
"28","KFMP_32",32,"Anacapa Island","East Fish Camp","Outside",11.6102475,34.0045,-119.3857833,"KFMP","32",NA,NA,NA
"29","KFMP_33",33,"Anacapa Island","Black Sea Bass Reef","Inside",16.20946111,34.0126,-119.3891833,"KFMP","33",NA,NA,NA
"30","KFMP_34",34,"Anacapa Island","Lighthouse","Outside",8.506766642,34.0141,-119.3590167,"KFMP","34",NA,NA,NA
"31","KFMP_35",35,"Santa Barbara Island","Webster's Arch","Outside",14.68599122,33.47985,-119.0622,"KFMP","35",NA,NA,NA
"32","KFMP_36",36,"Santa Barbara Island","Graveyard Canyon","Inside",11.62612777,33.47306667,-119.0268167,"KFMP","36",NA,NA,NA
"33","KFMP_37",37,"Santa Barbara Island","Southeast Reef","Inside",11.80413314,33.46293333,-119.0312667,"KFMP","37",NA,NA,NA
