,sitename,PISCO_CODE,lat_wgs84,lon_wgs84,associated_mpa,MPA_STATUS,YEAR_MPA,island,CAMPUS,year,month,day,method
1,ANACAPA_ADMIRALS_CEN,SADM03,-119.4252,34.002883,Anacapa Island SMCA,reference,0,Anacapa Island,UCSB,2007,7,11,SBTL_SWATH
2,ANACAPA_ADMIRALS_E,SADM02,-119.418,34.003433,Anacapa Island SMCA,reference,0,Anacapa Island,UCSB,1999,9,30,SBTL_SWATH
3,ANACAPA_ADMIRALS_W,SADM01,-119.434383,34.00775,Anacapa Island SMCA,reference,0,Anacapa Island,UCSB,2007,7,11,SBTL_SWATH
4,ANACAPA_EAST_FISH_CAMP_CEN,SEFC03,-119.398067,34.001583,Anacapa Island SMR,reference,0,Anacapa Island,UCSB,2007,7,18,SBTL_SWATH
5,ANACAPA_EAST_FISH_CAMP_E,SEFC02,-119.385783,34.0045,Anacapa Island SMR,reference,0,Anacapa Island,UCSB,2007,7,18,SBTL_SWATH
6,ANACAPA_EAST_FISH_CAMP_W,SEFC01,-119.404167,34.003083,Anacapa Island SMR,reference,0,Anacapa Island,UCSB,2007,7,18,SBTL_SWATH
7,ANACAPA_EAST_ISLE_CEN,SEAI03,-119.363683,34.017667,Anacapa Island SMR,SMR,1978,Anacapa Island,UCSB,1999,9,29,SBTL_SWATH
8,ANACAPA_EAST_ISLE_E,SEAI02,-119.361133,34.017033,Anacapa Island SMR,SMR,1978,Anacapa Island,UCSB,1999,9,29,SBTL_SWATH
9,ANACAPA_EAST_ISLE_W,SEAI01,-119.371733,34.015867,Anacapa Island SMR,SMR,1978,Anacapa Island,UCSB,1999,9,29,SBTL_SWATH
10,ANACAPA_LIGHTHOUSE_REEF_CEN,SLHR03,-119.363133,34.012783,Anacapa Island SMR,reference,0,Anacapa Island,UCSB,2007,7,16,SBTL_SWATH
11,ANACAPA_LIGHTHOUSE_REEF_E,SLHR02,-119.36,34.0139,Anacapa Island SMR,reference,0,Anacapa Island,UCSB,2007,7,16,SBTL_SWATH
12,ANACAPA_LIGHTHOUSE_REEF_W,SLHR01,-119.3725,34.010783,Anacapa Island SMR,reference,0,Anacapa Island,UCSB,2007,7,16,SBTL_SWATH
13,ANACAPA_MIDDLE_ISLE_CEN,SMDI03,-119.388333,34.009883,Anacapa Island SMR,SMR,2003,Anacapa Island,UCSB,2000,9,20,SBTL_SWATH
14,ANACAPA_MIDDLE_ISLE_E,SMDI02,-119.388167,34.0085,Anacapa Island SMR,SMR,2003,Anacapa Island,UCSB,2000,9,19,SBTL_SWATH
15,ANACAPA_MIDDLE_ISLE_W,SMDI01,-119.394467,34.007833,Anacapa Island SMR,SMR,2003,Anacapa Island,UCSB,2001,9,27,SBTL_SWATH
16,ANACAPA_WEST_ISLE_CEN,SWEI03,-119.432917,34.016983,Anacapa Island SMCA,SMCA,2003,Anacapa Island,UCSB,2003,8,14,SBTL_SWATH
17,ANACAPA_WEST_ISLE_E,SWEI02,-119.421833,34.016083,Anacapa Island SMCA,SMCA,2003,Anacapa Island,UCSB,2003,8,14,SBTL_SWATH
18,ANACAPA_WEST_ISLE_W,SWEI01,-119.438067,34.017417,Anacapa Island SMCA,SMCA,2003,Anacapa Island,UCSB,2003,7,18,SBTL_SWATH
19,ANDREW_MOLERA_DC,SAMO02,-121.8730375,36.2760886,Point Sur SMR,SMR,2007,Mainland,UCSC,2003,9,26,SBTL_SWATH
20,ANDREW_MOLERA_OLD_DC,SAMO03,-121.8697089,36.2735923,Point Sur SMR,SMR,2007,Mainland,UCSC,2003,9,26,SBTL_SWATH
21,ANDREW_MOLERA_UC,SAMO01,-121.8759883,36.2776852,Point Sur SMR,SMR,2007,Mainland,UCSC,2004,8,8,SBTL_SWATH
22,ARGUELLO_E,SARG02,-120.5717167,34.5417333,Vandenberg SMR,reference,0,Mainland,UCSB,1999,11,17,SBTL_SWATH
23,ARGUELLO_W,SARG01,-120.5691167,34.5405,Vandenberg SMR,reference,0,Mainland,UCSB,1999,11,17,SBTL_SWATH
